Title,Organization,Content Type,URL,Publication,Person,Date Published,Topics,Content Tags,Industry,Category Classification,Asset,Source File
Tech Trends,McKinsey,LinkedIn post,https://www.linkedin.com/posts/vinayak-hv-7061222_aibymckinsey-artificialintelligence-generativeai-activity-7104402718303125504-lcg3/?utm_source=share&utm_medium=member_desktop,LinkedIn,Vinayak HV - McKinsey,,Digital Transformation - Information Technology - Science & Technology,Technology Transfer,Management Consultant,Total Emphasis,![](https://firebasestorage.googleapis.com/v0/b/tagr-prod.appspot.com/o/notespace%2Fkeith%40totalemphasis.com%2Fuploads%2F2026-01-14T23%3A34%3A05.273Z-Screenshot%202026-01-14%20at%206.33.59%E2%80%AFPM.png?alt=media&token=beec3ac1-1ab4-4016-876d-f7c540002455),Tech Trends - McKinsey - LinkedIn post (my-content).md
Tech and insurance industry,McKinsey,LinkedIn post,https://www.linkedin.com/posts/ari-libarikian-b8720b_startups-can-often-succeed-where-legacy-businesses-activity-6859486305668132864-yFEi?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAAA3TABufjct_dj5o96jQ_ELwtUVCtVVhM,LinkedIn,Ari Libarikian - McKinsey,,,,Insurance,Total Emphasis,![](https://firebasestorage.googleapis.com/v0/b/tagr-prod.appspot.com/o/notespace%2Fkeith%40totalemphasis.com%2Fuploads%2F2026-01-13T19%3A27%3A55.858Z-Screenshot%202026-01-13%20at%202.27.50%E2%80%AFPM.png?alt=media&token=2c66eb31-798e-40f1-8d65-33b4f271e5fb),Tech and insurance industry - McKinsey - LinkedIn post (my-content).md
Terry McLean - Underwriter of the Year,SageSure,LinkedIn post,https://www.linkedin.com/posts/terrencemclean_we-are-honored-to-be-named-the-insurance-activity-7378502847778406400-M840?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAAA3TABufjct_dj5o96jQ_ELwtUVCtVVhM,LinkedIn,Terry McLean - SageSure,2025-09-29,"Insurance - Finance, Accounting and Legal - Business and Economics","Natural Disaster Insurance; Insurance Underwriting; Insurance - Finance, Accounting and Legal - Business and Economics",,Total Emphasis,Terry McLean - Underwriter of the Year,Terry McLean - Underwriter of the Year - SageSure - LinkedIn post (my-content).md
The 4DX Edition,,Blog,https://whyisthisinteresting.substack.com/p/the-4dx-edition,Why Is This Interesting,Keith O'Brien - Total Emphasis  ,2025-04-15,Movie Production - Film and Performance Arts - Art and Humanities,Film Production; Interactive Cinema,Film Production Company,Keith O'Brien,screencapture-whyisthisinteresting-substack-p-the-4dx-edition-2025-04-15-08_27_31,The 4DX Edition - Why Is This Interesting - Blog(my-content).md
The Benefits of Multicloud Management,UST,Blog,https://www.ust.com/en/insights/the-benefits-of-multicloud-management,UST.com,Andrew Das  - UST,2020-08-03,Cloud and Data - Information Technology - Science & Technology,Employee Experience,All Tech,Total Emphasis,screencapture-ust-en-insights-the-benefits-of-multicloud-management-2026-01-14-19_21_02 (1),The Benefits of Multicloud Management - UST - Blog(my-content).md
The Biggest Mistakes AR Lens Creators Make and How to Fix Them,Pretty Big Monster,Byline,https://vrvoice.co/the-biggest-mistakes-ar-lens-creators-make-and-how-to-fix-them/,VR Voice,Jason Steinberg - Pretty Big Monster,2022-09-12,Virtual Reality - Future Tech - Science & Technology,Augmented Reality,,Total Emphasis,screencapture-vrvoice-co-the-biggest-mistakes-ar-lens-creators-make-and-how-to-fix-them-2025-05-17-20_22_43,The Biggest Mistakes AR Lens Creators Make and How to Fix Them - Pretty Big Monster - Byline(my-content).md
The CMO Guide: Improving Media Efficiency Through Creative Attention,Realeyes,Report,https://blog.realeyesit.com/improving-media-efficiency-through-creative-attention,Realeyesit.com,Keith O'Brien - Total Emphasis  ,2021-12-07,Digital Marketing - Marketing - Business and Economics,Generative AI; Attention Measurement,Adtech,Total Emphasis,screencapture-blog-realeyesit-improving-media-efficiency-through-creative-attention-2026-01-14-16_04_45,The CMO Guide- Improving Media Efficiency Through Creative Attention - Realeyes - Report(my-content).md
The Comprehensive History of Timebanking and How It’s Ready to Spur a Great Awakening,TimeRepublik,Blog,https://medium.com/timerepublik/the-comprehensive-history-of-timebanking-and-how-its-ready-to-spur-a-great-awakening-916b8963270b,Medium,Keith O'Brien - Total Emphasis  ,2023-04-13,Organizational Culture & Change - Business Strategy and Management - Business and Economics,Time banking,Nonprofit Organization,Total Emphasis,screencapture-medium-timerepublik-the-comprehensive-history-of-timebanking-and-how-its-ready-to-spur-a-great-awakening-916b8963270b-2026-01-14-18_35_03,The Comprehensive History of Timebanking and How It’s Ready to Spur a Great Awakening -…(my-content).md
"The Customer Experience Evolution: Today’s Data-driven, Real-time Discipline",IBM,Blog,https://www.ibm.com/think/insights/customer-experience-history,IBM.com,Keith O'Brien - Total Emphasis  ,2024-02-12,,Data and Analytics; Customer Experience; Customer Service; Customer Retention; Customer Satisfaction,All Tech,Total Emphasis,screencapture-ibm-think-insights-customer-experience-history-2026-01-14-17_21_05,"The Customer Experience Evolution- Today’s Data-driven, Real-time Discipline - IBM - Blog(my-content).md"
The Demise of Third-Party Cookies is CTV’s Opportunity to Shine,UpWave,Byline,https://streetfightmag.com/2024/02/15/the-demise-of-third-party-cookies-is-ctvs-opportunity-to-shine/,Street Fight,Chris Kelly - UpWave,2024-02-15,,Cookieless,Adtech,Total Emphasis,screencapture-streetfightmag-2024-02-15-the-demise-of-third-party-cookies-is-ctvs-opportunity-to-shine-2026-01-14-16_34_49,The Demise of Third-Party Cookies is CTV’s Opportunity to Shine - UpWave - Byline(my-content).md
The Deprioritization of Diversity and Its Impact on Hiring,GoodTime.io,Byline,https://www.ere.net/articles/the-deprioritization-of-diversity-and-its-impact-on-hiring,ERE,Ahryun Moon - GoodTime.io,2022-07-12,,Recruitment and Layoffs; DEI and ESG,HR/Recruiting Firm,Total Emphasis,screencapture-ere-net-articles-the-deprioritization-of-diversity-and-its-impact-on-hiring-2025-05-17-20_21_43,The Deprioritization of Diversity and Its Impact on Hiring - GoodTime.io - Byline(my-content).md
"The Embedded, Immersive Future of Personal Finance",Team8,Byline,https://www.spiceworks.com/finance/fintech/guest-article/ai-driven-solutions-reshaping-personal-finance/,Spice Works,Ronen Assia - Team8,2024-02-28,"Corporate Finance - Finance, Accounting and Legal - Business and Economics",Fintech,Financial Services,Total Emphasis,screencapture-spiceworks-finance-fintech-guest-article-ai-driven-solutions-reshaping-personal-finance-2026-01-15-17_51_46,"The Embedded, Immersive Future of Personal Finance - Team8 - Byline(my-content).md"
The Future is Here,33 Across,Byline,https://streetfightmag.com/2023/12/28/third-party-cookies-the-future-is-here/,Street Fight,Eric Wheeler - 33 Across,2023-12-28,,Cookieless; Advertising Measurement,Adtech,Total Emphasis,"Third-party Cookies, The Future is Here _ Street Fight",The Future is Here - 33 Across - Byline(my-content).md
The Future of Age Verification,Data Zoo,Blog,https://www.datazoo.com/the-future-of-age-verification,DataZoo,,2025-07-08,,Age Verification; Data Quality; Identify Verification; **Topic(s)**:; Cloud and Data - Information Technology - Science & Technology; Cybersecurity - Information Technology - Science & Technology,Cybersecurity Firm,Total Emphasis,,The Future of Age Verification - Data Zoo - Blog(my-content).md
"The Future of Digital Advertising: No-Code Creation, Smart Automation, and Deeper Analytics by 2026",Mobvista/Mintegral,Byline,https://advertisingweek.com/the-future-of-digital-advertising-no-code-creation-smart-automation-and-deeper-analytics-by-2026/,AdvertisingWeek,Greg Castro - Mobvista/Mintegral,2026-01-15,Digital Marketing - Marketing - Business and Economics,Low code/no code; Automation; Marketing Automation; Data and Analytics,,Total Emphasis,screencapture-advertisingweek-the-future-of-digital-advertising-no-code-creation-smart-automation-and-deeper-analytics-by-2026-2026-01-15-09_30_40,"The Future of Digital Advertising- No-Code Creation, Smart Automation, and Deeper Analytics by…(my-content).md"
The Human Element Necessary for AI-powered Attention,Realeyes,Interview,https://blog.realeyesit.com/the-human-element-necessary-for-ai-powered-attention,Realeyesit.com,Keith O'Brien - Total Emphasis  ,2024-05-31,,Attention Measurement,Adtech,Total Emphasis,screencapture-blog-realeyesit-the-human-element-necessary-for-ai-powered-attention-2026-01-17-09_34_19,The Human Element Necessary for AI-powered Attention - Realeyes - Interview(my-content).md
The Hybrid-casual Gaming Boom Will Get Hotter in 2024,Mobvista/Mintegral,Byline,https://www.businessofapps.com/insights/the-hybrid-casual-gaming-boom-will-get-hotter-in-2024/,Business of Apps,Jeff Sue - Mobvista/Mintegral,2023-12-21,Mobile Marketing - Marketing - Business and Economics,Mobile gaming,,Total Emphasis,screencapture-businessofapps-insights-the-hybrid-casual-gaming-boom-will-get-hotter-in-2024-2025-05-17-20_20_10,The Hybrid-casual Gaming Boom Will Get Hotter in 2024 - Mobvista-Mintegral - Byline(my-content).md
The Impending Cookieless Future Has Everyone in Advertising Fearful About What’s Next,Channel Mix,Byline,https://martechseries.com/mts-insights/guest-authors/the-impending-cookieless-future-has-everyone-in-advertising-fearful-about-whats-next/,Martech Series,Matt Hertig - Unity Enterprise Solutions,2024-01-17,,Cookieless,Advertising,Total Emphasis,screencapture-martechseries-mts-insights-guest-authors-the-impending-cookieless-future-has-everyone-in-advertising-fearful-about-whats-next-2026-01-14-17_54_48,The Impending Cookieless Future Has Everyone in Advertising Fearful About What’s Next - Channel…(my-content)(2).md
The Importance of Feedback,Northern Trust,Blog,https://medium.com/face-value/navigating-feedback-as-much-an-art-as-it-is-a-science-a229ae3ae402,Medium,Peter Cherecwich - Northern Trust,2024-05-13,Leadership & Decision Making - Business Strategy and Management - Business and Economics,Employee Experience,Financial Services,Total Emphasis,screencapture-medium-face-value-navigating-feedback-as-much-an-art-as-it-is-a-science-a229ae3ae402-2026-01-15-17_17_51,The Importance of Feedback - Northern Trust - Blog(my-content).md
The Importance of It Cost Management in Modern Organizations,IBM,Blog,https://www.ibm.com/blog/it-cost-management/,IBM.com,Keith O'Brien - Total Emphasis  ,2023-08-11,,Cost Savings; Maintenance Strategy,IT Support and Management,Total Emphasis,screencapture-ibm-think-topics-it-cost-management-2026-01-15-18_03_16,The Importance of It Cost Management in Modern Organizations - IBM - Blog(my-content).md
The Potential Benefits of Investing in Private Companies Through IRAs,Forge Global,Blog,https://forgetrust.com/resources/articles/benefits-of-investing-in-private-companies-through-iras/,ForgeTrust.com,Liz Alexander - Forge Global,2025-01-16,"Investing - Finance, Accounting and Legal - Business and Economics",Private Equity; Wealth Management,Financial Services,Total Emphasis,Forge Global Public Companies through SDIRA,The Potential Benefits of Investing in Private Companies Through IRAs - Forge Global - Blog(my-content).md
The Potential Benefits of Investing in Private Companies with a Forge Trust Self-Directed IRA,Forge Global,Blog,https://forgetrust.com/resources/articles/benefits-of-investing-in-private-companies-with-self-directed-ira/,ForgeTrust.com,Zander Koallick - Forge Global,,,Alternative Investments; Retirement,,,screencapture-forgetrust-resources-articles-benefits-of-investing-in-private-companies-with-self-directed-ira-2026-01-14-21_00_22,The Potential Benefits of Investing in Private Companies with a Forge Trust Self-Directed IRA -…(my-content).md
The Power of Multicultural Creators,Realeyes,Case Study,https://www.realeyesit.com/case_studies/how-multicultural-creators-help-brands-connect-with-multiple-audiences/,Realeyesit.com,Keith O'Brien - Total Emphasis  ,2024-09-01,,Attention Measurement,Adtech,Total Emphasis,screencapture-realeyesit-case-studies-how-multicultural-creators-help-brands-connect-with-multiple-audiences-2026-01-14-16_35_59,The Power of Multicultural Creators - Realeyes - Case Study(my-content).md
The Risk and Resilience Professional’s Guide to Responsible AI,OnSolve,White Paper,https://www.onsolve.com/resource/guide-to-responsible-ai/,OnPath.com,,,Artificial Intelligence Ethics - Artificial Intelligence - Science & Technology,Responsible AI; Risk Management,Management Consultant,Total Emphasis,,The Risk and Resilience Professional’s Guide to Responsible AI - OnSolve - White Paper(my-content).md
The Role of Microservices in Cloud-native Applications,UST,Blog,https://www.ust.com/en/insights/the-role-of-microservices-in-cloud-native-applications,UST.com,Rajkumar Jeyaraj - UST,2022-04-11,Cloud and Data - Information Technology - Science & Technology,Microservices; Cloud and Data - Information Technology - Science & Technology; Kubernetes; Cloud and Data - Information Technology - Science & Technology,All Tech,Total Emphasis,screencapture-ust-en-insights-the-role-of-microservices-in-cloud-native-applications-2026-01-13-14_05_27,The Role of Microservices in Cloud-native Applications - UST - Blog(my-content).md
The Signal Wars: How DSPs and SSPs Are Battling for Data Dominance,UpWave,Byline,https://www.martechcube.com/how-dsps-and-ssps-are-battling-for-data-dominance/,Martech Cube,Paul Bell - 33 Across,2025-06-20,,Advertising Signals; **Topic(s)**:; Media Buying - Marketing - Business and Economics; Ad Measurement - Marketing - Business and Economics,Advertising,Total Emphasis,screencapture-martechcube-how-dsps-and-ssps-are-battling-for-data-dominance-2025-06-25-15_33_53,The Signal Wars- How DSPs and SSPs Are Battling for Data Dominance - UpWave - Byline(my-content).md
The Top 3 Benefits of a Digitally Mature Organization,UST,Blog,https://www.ust.com/en/insights/the-top-3-benefits-of-a-digital-mature-organization,UST.com,David Breitling - UST,2021-06-10,,Digital Maturity; Organizational Culture,All Tech,Total Emphasis,screencapture-ust-en-insights-the-top-3-benefits-of-a-digital-mature-organization-2026-01-14-18_11_26,The Top 3 Benefits of a Digitally Mature Organization - UST - Blog(my-content).md
The Tremendous Opportunity in Attention Measurement,Realeyes,Interview,https://blog.realeyesit.com/the-tremendous-opportunity-in-attention-measurement,Realeyesit.com,Keith O'Brien - Total Emphasis  ,2023-08-07,Digital Marketing - Marketing - Business and Economics,Attention Measurement,Adtech,Total Emphasis,screencapture-blog-realeyesit-the-tremendous-opportunity-in-attention-measurement-2026-01-14-17_52_33,The Tremendous Opportunity in Attention Measurement - Realeyes - Interview(my-content).md
"The Trinity of Attention: Context, Emotional Response & Distinction",Realeyes,Interview,https://blog.realeyesit.com/the-trinity-of-attention-context-emotional-response-distinction,Realeyesit.com,Keith O'Brien - Total Emphasis  ,2024-01-31,Digital Marketing - Marketing - Business and Economics,Attention Measurement,Adtech,Total Emphasis,screencapture-blog-realeyesit-the-trinity-of-attention-context-emotional-response-distinction-2025-11-13-15_32_16,"The Trinity of Attention- Context, Emotional Response & Distinction - Realeyes - Interview(my-content).md"
The Way For Brands To Create Immersive Experiences,Pretty Big Monster,Byline,https://www.mediapost.com/publications/article/371145/the-way-for-brands-to-create-immersive-experiences.html,Mediapost,Jason Steinberg - Pretty Big Monster,2022-02-12,Virtual Reality - Future Tech - Science & Technology,Metaverse,,Total Emphasis,screencapture-mediapost-publications-article-371145-the-way-for-brands-to-create-immersive-experiences-html-2026-01-15-18_01_59,The Way For Brands To Create Immersive Experiences - Pretty Big Monster - Byline(my-content).md
The Year of Outcomes: A Paradigm Shift in Advertising KPIs,UpWave,Blog,https://www.linkedin.com/pulse/year-outcomes-paradigm-shift-advertising-kpis-chris-kelly-otgcc/?trackingId=L9JZXJEoQJyCupj7PtYROQ%3D%3D,LinkedIn,Chris Kelly - UpWave,2024-09-25,,Outcomes; **Topic(s)**:; Ad Measurement - Marketing - Business and Economics; Digital Marketing - Marketing - Business and Economics,Adtech,Total Emphasis,(5) The Year of Outcomes_ A Paradigm Shift in Advertising KPIs _ LinkedIn,The Year of Outcomes- A Paradigm Shift in Advertising KPIs - UpWave - Blog(my-content).md
The future of AI and energy efficiency,IBM,Blog,https://www.ibm.com/think/insights/future-ai-energy-efficiency,IBM.com,,2024-10-24,,Energy Efficiency; Generative AI,All Tech,Total Emphasis,The future of AI and energy efficiency _ IBM,The future of AI and energy efficiency - IBM - Blog(my-content).md
The impending cookieless future has everyone in advertising fearful about what’s next,Channel Mix,Byline,https://martechseries.com/mts-insights/guest-authors/the-impending-cookieless-future-has-everyone-in-advertising-fearful-about-whats-next/,Martech Series,Matt Hertig - Unity Enterprise Solutions,2024-01-18,,Cookieless,Adtech,Total Emphasis,screencapture-martechseries-mts-insights-guest-authors-the-impending-cookieless-future-has-everyone-in-advertising-fearful-about-whats-next-2026-01-13-14_12_41,The impending cookieless future has everyone in advertising fearful about what’s next - Channel…(my-content).md
The solar industry’s low-tech problem and how to fix it,Aspen Power,Interview,https://electrek.co/2021/05/31/the-solar-industrys-low-tech-problem-and-how-to-fix-it/,Electrek,Kirk Edelman - SolMicroGrid,2021-05-31,Product Engineering - Information Technology - Science & Technology,Renewable Energy; Solar Energy,Energy,Total Emphasis,Safari Energy-electrek-co-2021-05-31-the-solar-industrys-low-tech-problem-and-how-to-fix-it-2025-01-08-08_16_02,The solar industry’s low-tech problem and how to fix it - Aspen Power - Interview(my-content).md
"Third-party Cookies, the Future is Here",33 Across,Byline,https://streetfightmag.com/2023/12/28/third-party-cookies-the-future-is-here/,Street Fight Mag,Eric Wheeler - 33 Across,2023-12-28,,Cookieless,Adtech,Total Emphasis,screencapture-streetfightmag-2023-12-28-third-party-cookies-the-future-is-here-2026-01-13-15_32_25,"Third-party Cookies, the Future is Here - 33 Across - Byline(my-content).md"
"This Campaign Season, Vote to Embrace Cookieless",33 Across,Byline,https://www.admonsters.com/this-campaign-season-vote-to-embrace-cookieless/,Ad Monsters,Eric Wheeler - 33 Across,2024-10-15,,Cookieless,Adtech,Total Emphasis,"This Campaign Season, Vote to Embrace Cookieless","This Campaign Season, Vote to Embrace Cookieless - 33 Across - Byline(my-content).md"
Three manufacturing outcomes that matter,UIPath,White Paper,,UIPath.com,Anonymous,2024-10-01,,,Manufacturer,Total Emphasis,manufacturing-outcomes-ebook,Three manufacturing outcomes that matter - UIPath - White Paper(my-content).md
Tips for Successful Influencer Strategies,M&C Saatchi Performance,Blog,https://www.mcsaatchiperformance.com/news/tips-for-successful-influencer-strategies/,M&C Saatchi,Jennifer Sudo - M&C Saatchi Performance,2023-06-23,,,Marketing,Total Emphasis,screencapture-mcsaatchiperformance-news-tips-for-successful-influencer-strategies-2025-05-17-21_16_38,Tips for Successful Influencer Strategies - M&C Saatchi Performance - Blog(my-content).md
"To unlock AI’s power, simplify your Search campaigns",Google,Blog,https://www.thinkwithgoogle.com/marketing-strategies/search/ai-for-search-advertising-campaign-strategy/,Think with Google,,2024-11-12,,Automation; Machine Learning,All Tech,Total Emphasis,screencapture-business-google-us-think-search-and-video-ai-for-search-advertising-campaign-strategy-2025-05-18-10_39_21,"To unlock AI’s power, simplify your Search campaigns - Google - Blog(my-content).md"
Top Trends in Semiconductor Next-gen Digital Engineering,UST,Blog,https://www.ust.com/en/insights/top-trends-in-semiconductor-next-gen-digital-engineering,UST.com,Gilroy Mathew - ,2022-10-03,Product Engineering - Information Technology - Science & Technology,Digital Engineering,All Tech,Total Emphasis,screencapture-ust-en-insights-top-trends-in-semiconductor-next-gen-digital-engineering-2026-01-14-18_15_37,Top Trends in Semiconductor Next-gen Digital Engineering - UST - Blog(my-content).md
Top ways to deliver good customer service,IBM,Blog,https://www.ibm.com/think/insights/top-ways-to-deliver-good-customer-service,IBM.com,Keith O'Brien - Total Emphasis  ,2024-10-17,,Customer Service,All Tech,Total Emphasis,screencapture-ibm-think-insights-top-ways-to-deliver-good-customer-service-2024-11-12-12_55_13,Top ways to deliver good customer service - IBM - Blog(my-content).md
Toto Wolff,Sodexo,LinkedIn post,https://www.linkedin.com/posts/activity-7393652093795966976-ww41?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAAA3TABufjct_dj5o96jQ_ELwtUVCtVVhM,LinkedIn,David Woodbury - Sodexo,2025-11-14,,Servant Leadership; Accountability,,Total Emphasis,![](https://firebasestorage.googleapis.com/v0/b/tagr-prod.appspot.com/o/notespace%2Fkeith%40totalemphasis.com%2Fuploads%2F2026-01-14T23%3A31%3A14.504Z-Screenshot%202026-01-14%20at%206.31.08%E2%80%AFPM.png?alt=media&token=391bf995-99e2-44e5-aa30-d6a7d63d3e52),Toto Wolff - Sodexo - LinkedIn post (my-content).md
Traffic Shaping is Blocking the Road to the Cookieless Future,33 Across,Byline,https://www.adexchanger.com/data-driven-thinking/traffic-shaping-is-blocking-the-road-to-the-cookieless-future/,Ad Exchanger,Paul Bell - 33 Across,2023-11-16,Media Buying - Marketing - Business and Economics,Traffic Shaping,Adtech,Total Emphasis,screencapture-adexchanger-data-driven-thinking-traffic-shaping-is-blocking-the-road-to-the-cookieless-future-2025-05-17-20_17_12,Traffic Shaping is Blocking the Road to the Cookieless Future - 33 Across - Byline(my-content).md
UGC Renaissance: the Future of Creative Marketing,Catch + Release,Byline,https://www.lbbonline.com/news/ugc-renaissance-the-future-of-creative-marketing/,IBB Online,Tom Christmann - Catch + Release,2024-02-21,,User Generated Content,Advertising,Total Emphasis,screencapture-lbbonline-news-ugc-renaissance-the-future-of-creative-marketing-2025-05-17-20_15_13,UGC Renaissance- the Future of Creative Marketing - Catch + Release - Byline(my-content).md
US News and World Report,SageSure,LinkedIn post,https://www.linkedin.com/posts/terrencemclean_homeinsurance-homeaffordability-insurance-activity-7362107633803116544-8qHG?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAAA3TABufjct_dj5o96jQ_ELwtUVCtVVhM,LinkedIn,Terry McLean - SageSure,2025-08-13,"Insurance - Finance, Accounting and Legal - Business and Economics","Home Insurance; Insurance - Finance, Accounting and Legal - Business and Economics",Insurance,Total Emphasis,![](https://firebasestorage.googleapis.com/v0/b/tagr-prod.appspot.com/o/notespace%2Fkeith%40totalemphasis.com%2Fuploads%2F2025-09-13T22%3A51%3A26.156Z-Screenshot%202025-09-13%20at%206.51.20%E2%80%AFPM.png?alt=media&token=b1900ef5-4f20-40e7-b456-6625c268cf0e),US News and World Report - SageSure - LinkedIn post (my-content).md
Understanding the Role of Product Engineering,UST,Blog,https://www.ust.com/en/insights/understanding-the-role-of-product-engineering,UST.com,Miguel Garcia,2022-02-18,Product Engineering - Information Technology - Science & Technology,Product Engineering; Product Management,All Tech,Total Emphasis,screencapture-ust-en-insights-understanding-the-role-of-product-engineering-2026-01-14-20_49_06,Understanding the Role of Product Engineering - UST - Blog(my-content).md
Unlocking Mobile Performance Marketing for E-Commerce Sellers[](https://martechseries.com/category/analytics/),Mobvista/Mintegral,Byline,https://martechseries.com/mts-insights/guest-authors/unlocking-mobile-performance-marketing-for-e-commerce-sellers/,Martech Series,Matthew Leopold - Mobvista/Mintegral,2025-12-12,,Mobile gaming,,Total Emphasis,screencapture-martechseries-mts-insights-guest-authors-unlocking-mobile-performance-marketing-for-e-commerce-sellers-2025-12-12-10_08_51,Unlocking Mobile Performance Marketing for E-Commerce Sellers - Mobvista-Mintegral - Byline(my-content).md
Unlocking Success: Key Components of a Winning Customer Experience Strategy,IBM,Blog,https://www.ibm.com/blog/customer-experience-strategy/,IBM.com,Keith O'Brien - Total Emphasis  ,2023-12-20,,Customer Experience,All Tech,Total Emphasis,screencapture-ibm-think-insights-customer-experience-strategy-2026-01-14-15_56_44,Unlocking Success- Key Components of a Winning Customer Experience Strategy - IBM - Blog(my-content).md
Unlocking Value: Top Digital Transformation Trends,IBM,Blog,https://www.ibm.com/blog/digital-transformation-trends/,IBM.com,Keith O'Brien - Total Emphasis  ,2024-01-15,Digital Transformation - Information Technology - Science & Technology,Cloud Migration; Machine Learning; Digital Maturity,All Tech,Total Emphasis,screencapture-ibm-think-insights-digital-transformation-trends-2026-01-14-18_36_11,Unlocking Value- Top Digital Transformation Trends - IBM - Blog(my-content).md
Unlocking the Data Procurement Needs to Thrive Requires AI,Infinity Loop,Byline,,,Nithin Mummaneni - Infinity Loop,2025-11-05,,Procurement; Contract Renewals,,Total Emphasis,screencapture-sdcexec-sourcing-procurement-procurement-software-article-22952672-infinity-loop-unlocking-the-data-procurement-needs-to-thrive-requires-ai-2026-01-14-17_05_24,Unlocking the Data Procurement Needs to Thrive Requires AI - Infinity Loop - Byline(my-content).md
Unlocking the Power of AI: A Roadmap for Advertisers in a Cookieless Era,UpWave,Byline,https://advertisingweek.com/how-advertisers-can-harness-the-power-of-ai-in-a-cookieless-era/,AdvertisingWeek,Chris Kelly - UpWave,2024-02-16,,Cookieless,Adtech,Total Emphasis,screencapture-advertisingweek-how-advertisers-can-harness-the-power-of-ai-in-a-cookieless-era-2026-01-14-18_38_48,Unlocking the Power of AI- A Roadmap for Advertisers in a Cookieless Era - UpWave - Byline(my-content).md
Upskilling and Reskilling for Talent Transformation in the Era of AI,IBM,Blog,https://www.ibm.com/blog/ai-upskilling/,IBM.com,Keith O'Brien - Total Emphasis  ,2024-05-08,,Upskilling/resklilling; Training and Development; Employee Experience,All Tech,Total Emphasis,screencapture-ibm-think-insights-ai-upskilling-2026-01-13-14_09_46,Upskilling and Reskilling for Talent Transformation in the Era of AI - IBM - Blog(my-content).md
Using Attention to Scale Creative Performance and Sales,,Case Study,https://www.realeyesit.com/case_studies/using-attention-to-scale-creative-performance-and-sales/,Realeyesit.com,,2025-05-07,,Attention Measurement,,Total Emphasis,screencapture-realeyesit-case-studies-using-attention-to-scale-creative-performance-and-sales-2025-08-21-21_28_42,"Using Attention to Scale Creative Performance and Sales - Mars, Realeyes - Case Study(my-content).md"
Venture building,McKinsey,LinkedIn post,https://www.linkedin.com/posts/ari-libarikian-b8720b_venture-building-is-a-global-phenomenon-activity-6856993166663458816-ab0X?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAAA3TABufjct_dj5o96jQ_ELwtUVCtVVhM,LinkedIn,Ari Libarikian - McKinsey,,,,Management Consultant,Total Emphasis,Venture Building,Venture building - McKinsey - LinkedIn post (my-content).md
"Video Telematics: a Win-win for Insurers, Fleet Owners",Driver Technologies,Byline,https://www.propertycasualty360.com/2023/01/13/video-telematics-a-win-win-for-insurers-fleet-owners/?slreturn=20230520141435,Property Casualty 360,Keith O'Brien - Total Emphasis  ,2023-01-13,,Video Telemetrics,Insurance,Total Emphasis,screencapture-propertycasualty360-2023-01-13-video-telematics-a-win-win-for-insurers-fleet-owners-2025-05-17-20_14_18,"Video Telematics- a Win-win for Insurers, Fleet Owners - Driver Technologies - Byline(my-content).md"
Volta Trucks Case Study,McKinsey,LinkedIn post,https://www.linkedin.com/posts/ari-libarikian-b8720b_startups-can-often-succeed-where-legacy-businesses-activity-6859486305668132864-yFEi?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAAA3TABufjct_dj5o96jQ_ELwtUVCtVVhM,LinkedIn,Ari Libarikian - McKinsey,,Startup Formation & Planning - Entrepreneurship - Business and Economics,Entrepreneurship Strategy; Automotive; Electric Vehicles,Management Consultant,Total Emphasis,![](https://firebasestorage.googleapis.com/v0/b/tagr-prod.appspot.com/o/notespace%2Fkeith%40totalemphasis.com%2Fuploads%2F2025-03-20T19%3A40%3A34.672Z-Screenshot%202025-03-20%20at%203.40.29%E2%80%AFPM.png?alt=media&token=48764217-36b5-4ce7-b218-f5fc590b3f02),Volta Trucks Case Study - McKinsey - LinkedIn post (my-content).md
Waiting for the Metaverse? The Revolution is Already Here,Pretty Big Monster,Byline,https://venturebeat.com/datadecisionmakers/waiting-for-the-metaverse-the-revolution-is-already-here/,Venture Beat,Jason Steinberg - Pretty Big Monster,2022-04-16,,Metaverse,All Tech,Total Emphasis,screencapture-venturebeat-datadecisionmakers-waiting-for-the-metaverse-the-revolution-is-already-here-2025-05-17-20_11_42,Waiting for the Metaverse- The Revolution is Already Here - Pretty Big Monster - Byline(my-content).md
Waterfall CTV Buying is the Best Choice for Most Advertisers,TVDataNow,Byline,https://www.adexchanger.com/tv-and-video/waterfall-CTV-buying-is-the-best-choice-for-most-advertisers/,Ad Exchanger,John Hamilton - OnlineSales.ai,2020-12-10,,,,Total Emphasis,screencapture-adexchanger-on-tv-and-video-waterfall-ctv-buying-is-the-best-choice-for-most-advertisers-2025-05-17-20_08_15,Waterfall CTV Buying is the Best Choice for Most Advertisers - TVDataNow - Byline(my-content).md
